korean,latin,transcription
뛞,ddwelm,t͈welm
뛟,ddwelb,t͈welb
뛠,ddwels,t͈wels
뛡,ddwelt,t͈weltʰ
뛢,ddwelp,t͈welpʰ
뛣,ddwelh,t͈welh
뛤,ddwem,t͈wem
뛥,ddweb,t͈wep
뛦,ddwebs,t͈weps
뛧,ddwes,t͈wes
뛨,ddwess,t͈wes͈
뛩,ddweng,t͈weŋ
뛪,ddwej,t͈wet͡ɕ
뛫,ddwech,t͈wet͡ɕʰ
뛬,ddwek,t͈wekʰ
뛭,ddwet,t͈wetʰ
뛮,ddwep,t͈wepʰ
뛯,ddweh,t͈weh
뛰,ddwi,t͈wi
뛱,ddwig,t͈wik
뛲,ddwigg,t͈wik͈
뛳,ddwigs,t͈wiks
뛴,ddwin,t͈win
뛵,ddwinj,t͈winɟ
뛶,ddwinh,t͈winh
뛷,ddwid,t͈wit
뛸,ddwil,t͈wiɾ
뛹,ddwilg,t͈wilg
뛺,ddwilm,t͈wilm
뛻,ddwilb,t͈wilb
뛼,ddwils,t͈wils
뛽,ddwilt,t͈wiltʰ
뛾,ddwilp,t͈wilpʰ
뛿,ddwilh,t͈wilh
뜀,ddwim,t͈wim
뜁,ddwib,t͈wip
뜂,ddwibs,t͈wips
뜃,ddwis,t͈wis
뜄,ddwiss,t͈wis͈
뜅,ddwing,t͈wiŋ
뜆,ddwij,t͈wit͡ɕ
뜇,ddwich,t͈wit͡ɕʰ
뜈,ddwik,t͈wikʰ
뜉,ddwit,t͈witʰ
뜊,ddwip,t͈wipʰ
뜋,ddwih,t͈wih
뜌,ddyu,t͈ju
뜍,ddyug,t͈juk
뜎,ddyugg,t͈juk͈
뜏,ddyugs,t͈juks
뜐,ddyun,t͈jun
뜑,ddyunj,t͈junɟ
뜒,ddyunh,t͈junh
뜓,ddyud,t͈jut
뜔,ddyul,t͈juɾ
뜕,ddyulg,t͈julg
뜖,ddyulm,t͈julm
뜗,ddyulb,t͈julb
뜘,ddyuls,t͈juls
뜙,ddyult,t͈jultʰ
뜚,ddyulp,t͈julpʰ
뜛,ddyulh,t͈julh
뜜,ddyum,t͈jum
뜝,ddyub,t͈jup
뜞,ddyubs,t͈jups
뜟,ddyus,t͈jus
뜠,ddyuss,t͈jus͈
뜡,ddyung,t͈juŋ
뜢,ddyuj,t͈jut͡ɕ
뜣,ddyuch,t͈jut͡ɕʰ
뜤,ddyuk,t͈jukʰ
뜥,ddyut,t͈jutʰ
뜦,ddyup,t͈jupʰ
뜧,ddyuh,t͈juh
뜨,ddeu,t͈ɨ
뜩,ddeug,t͈ɨk
뜪,ddeugg,t͈ɨk͈
뜫,ddeugs,t͈ɨks
뜬,ddeun,t͈ɨn
뜭,ddeunj,t͈ɨnɟ
뜮,ddeunh,t͈ɨnh
뜯,ddeud,t͈ɨt
뜰,ddeul,t͈ɨɾ
뜱,ddeulg,t͈ɨlg
뜲,ddeulm,t͈ɨlm
뜳,ddeulb,t͈ɨlb
뜴,ddeuls,t͈ɨls
뜵,ddeult,t͈ɨltʰ
뜶,ddeulp,t͈ɨlpʰ
뜷,ddeulh,t͈ɨlh
뜸,ddeum,t͈ɨm
뜹,ddeub,t͈ɨp
뜺,ddeubs,t͈ɨps
뜻,ddeus,t͈ɨs
뜼,ddeuss,t͈ɨs͈
뜽,ddeung,t͈ɨŋ
뜾,ddeuj,t͈ɨt͡ɕ
뜿,ddeuch,t͈ɨt͡ɕʰ
띀,ddeuk,t͈ɨkʰ
띁,ddeut,t͈ɨtʰ
띂,ddeup,t͈ɨpʰ
띃,ddeuh,t͈ɨh
띄,ddyi,t͈ы
띅,ddyig,t͈ыk
띆,ddyigg,t͈ыk͈
띇,ddyigs,t͈ыks
띈,ddyin,t͈ыn
띉,ddyinj,t͈ыnɟ
띊,ddyinh,t͈ыnh
띋,ddyid,t͈ыt
띌,ddyil,t͈ыɾ
띍,ddyilg,t͈ыlg
띎,ddyilm,t͈ыlm
띏,ddyilb,t͈ыlb
띐,ddyils,t͈ыls
띑,ddyilt,t͈ыltʰ
띒,ddyilp,t͈ыlpʰ
띓,ddyilh,t͈ыlh
띔,ddyim,t͈ыm
띕,ddyib,t͈ыp
띖,ddyibs,t͈ыps
띗,ddyis,t͈ыs
띘,ddyiss,t͈ыs͈
띙,ddying,t͈ыŋ
띚,ddyij,t͈ыt͡ɕ
띛,ddyich,t͈ыt͡ɕʰ
띜,ddyik,t͈ыkʰ
띝,ddyit,t͈ыtʰ
띞,ddyip,t͈ыpʰ
띟,ddyih,t͈ыh
띠,ddi,t͈i
띡,ddig,t͈ik
띢,ddigg,t͈ik͈
띣,ddigs,t͈iks
띤,ddin,t͈in
띥,ddinj,t͈inɟ
띦,ddinh,t͈inh
띧,ddid,t͈it
띨,ddil,t͈iɾ
띩,ddilg,t͈ilg
띪,ddilm,t͈ilm
띫,ddilb,t͈ilb
띬,ddils,t͈ils
띭,ddilt,t͈iltʰ
띮,ddilp,t͈ilpʰ
띯,ddilh,t͈ilh
띰,ddim,t͈im
띱,ddib,t͈ip
띲,ddibs,t͈ips
띳,ddis,t͈is
띴,ddiss,t͈is͈
띵,dding,t͈iŋ
띶,ddij,t͈it͡ɕ
띷,ddich,t͈it͡ɕʰ
띸,ddik,t͈ikʰ
띹,ddit,t͈itʰ
띺,ddip,t͈ipʰ
띻,ddih,t͈ih
라,ra,ɾɐ
락,rag,ɾɐk
띾,ragg,ɾɐk͈
띿,rags,ɾɐks
란,ran,ɾɐn
랁,ranj,ɾɐnɟ
랂,ranh,ɾɐnh
랃,rad,ɾɐt
랄,ral,ɾɐɾ
랅,ralg,ɾɐlg
랆,ralm,ɾɐlm
랇,ralb,ɾɐlb
랈,rals,ɾɐls
랉,ralt,ɾɐltʰ
랊,ralp,ɾɐlpʰ
랋,ralh,ɾɐlh
람,ram,ɾɐm
랍,rab,ɾɐp
랎,rabs,ɾɐps
랏,ras,ɾɐs
랐,rass,ɾɐs͈
랑,rang,ɾɐŋ
랒,raj,ɾɐt͡ɕ
랓,rach,ɾɐt͡ɕʰ
랔,rak,ɾɐkʰ
랕,rat,ɾɐtʰ
랖,rap,ɾɐpʰ
랗,rah,ɾɐh
래,rae,ɾɛ
랙,raeg,ɾɛk
랚,raegg,ɾɛk͈
랛,raegs,ɾɛks
랜,raen,ɾɛn
랝,raenj,ɾɛnɟ
랞,raenh,ɾɛnh
랟,raed,ɾɛt
랠,rael,ɾɛɾ
랡,raelg,ɾɛlg
랢,raelm,ɾɛlm
랣,raelb,ɾɛlb
랤,raels,ɾɛls
랥,raelt,ɾɛltʰ
랦,raelp,ɾɛlpʰ
랧,raelh,ɾɛlh
램,raem,ɾɛm
랩,raeb,ɾɛp
랪,raebs,ɾɛps
랫,raes,ɾɛs
랬,raess,ɾɛs͈
랭,raeng,ɾɛŋ
랮,raej,ɾɛt͡ɕ
랯,raech,ɾɛt͡ɕʰ
랰,raek,ɾɛkʰ
랱,raet,ɾɛtʰ
랲,raep,ɾɛpʰ
랳,raeh,ɾɛh
랴,rya,ɾjɐ
략,ryag,ɾjɐk
랶,ryagg,ɾjɐk͈
랷,ryags,ɾjɐks
랸,ryan,ɾjɐn
랹,ryanj,ɾjɐnɟ
랺,ryanh,ɾjɐnh
랻,ryad,ɾjɐt
랼,ryal,ɾjɐɾ
랽,ryalg,ɾjɐlg
랾,ryalm,ɾjɐlm
랿,ryalb,ɾjɐlb
럀,ryals,ɾjɐls
럁,ryalt,ɾjɐltʰ
럂,ryalp,ɾjɐlpʰ
럃,ryalh,ɾjɐlh
럄,ryam,ɾjɐm
럅,ryab,ɾjɐp
럆,ryabs,ɾjɐps
럇,ryas,ɾjɐs
럈,ryass,ɾjɐs͈
량,ryang,ɾjɐŋ
럊,ryaj,ɾjɐt͡ɕ
럋,ryach,ɾjɐt͡ɕʰ
럌,ryak,ɾjɐkʰ
럍,ryat,ɾjɐtʰ
럎,ryap,ɾjɐpʰ
럏,ryah,ɾjɐh
럐,ryae,ɾjɛ
럑,ryaeg,ɾjɛk
럒,ryaegg,ɾjɛk͈
럓,ryaegs,ɾjɛks
럔,ryaen,ɾjɛn
럕,ryaenj,ɾjɛnɟ
럖,ryaenh,ɾjɛnh
럗,ryaed,ɾjɛt
럘,ryael,ɾjɛɾ
럙,ryaelg,ɾjɛlg
럚,ryaelm,ɾjɛlm
럛,ryaelb,ɾjɛlb
럜,ryaels,ɾjɛls
럝,ryaelt,ɾjɛltʰ
럞,ryaelp,ɾjɛlpʰ
럟,ryaelh,ɾjɛlh
럠,ryaem,ɾjɛm
럡,ryaeb,ɾjɛp
럢,ryaebs,ɾjɛps
럣,ryaes,ɾjɛs
럤,ryaess,ɾjɛs͈
럥,ryaeng,ɾjɛŋ
럦,ryaej,ɾjɛt͡ɕ
럧,ryaech,ɾjɛt͡ɕʰ
럨,ryaek,ɾjɛkʰ
럩,ryaet,ɾjɛtʰ
럪,ryaep,ɾjɛpʰ
럫,ryaeh,ɾjɛh
러,reo,ɾʌ
럭,reog,ɾʌk
럮,reogg,ɾʌk͈
럯,reogs,ɾʌks
런,reon,ɾʌn
럱,reonj,ɾʌnɟ
럲,reonh,ɾʌnh
럳,reod,ɾʌt
럴,reol,ɾʌɾ
럵,reolg,ɾʌlg
럶,reolm,ɾʌlm
럷,reolb,ɾʌlb
럸,reols,ɾʌls
럹,reolt,ɾʌltʰ
럺,reolp,ɾʌlpʰ
럻,reolh,ɾʌlh
럼,reom,ɾʌm
럽,reob,ɾʌp
럾,reobs,ɾʌps
럿,reos,ɾʌs
렀,reoss,ɾʌs͈
렁,reong,ɾʌŋ
렂,reoj,ɾʌt͡ɕ
렃,reoch,ɾʌt͡ɕʰ
렄,reok,ɾʌkʰ
렅,reot,ɾʌtʰ
렆,reop,ɾʌpʰ
렇,reoh,ɾʌh
레,re,ɾe
렉,reg,ɾek
렊,regg,ɾek͈
렋,regs,ɾeks
렌,ren,ɾen
렍,renj,ɾenɟ
렎,renh,ɾenh
렏,red,ɾet
렐,rel,ɾeɾ
렑,relg,ɾelg
렒,relm,ɾelm
렓,relb,ɾelb
렔,rels,ɾels
렕,relt,ɾeltʰ
렖,relp,ɾelpʰ
렗,relh,ɾelh
렘,rem,ɾem
렙,reb,ɾep
렚,rebs,ɾeps
렛,res,ɾes
렜,ress,ɾes͈
렝,reng,ɾeŋ
렞,rej,ɾet͡ɕ
렟,rech,ɾet͡ɕʰ
렠,rek,ɾekʰ
렡,ret,ɾetʰ
렢,rep,ɾepʰ
렣,reh,ɾeh
려,ryeo,ɾjʌ
력,ryeog,ɾjʌk
렦,ryeogg,ɾjʌk͈
렧,ryeogs,ɾjʌks
련,ryeon,ɾjʌn
렩,ryeonj,ɾjʌnɟ
렪,ryeonh,ɾjʌnh
렫,ryeod,ɾjʌt
렬,ryeol,ɾjʌɾ
렭,ryeolg,ɾjʌlg
렮,ryeolm,ɾjʌlm
렯,ryeolb,ɾjʌlb
렰,ryeols,ɾjʌls
렱,ryeolt,ɾjʌltʰ
렲,ryeolp,ɾjʌlpʰ
렳,ryeolh,ɾjʌlh
렴,ryeom,ɾjʌm
렵,ryeob,ɾjʌp
렶,ryeobs,ɾjʌps
렷,ryeos,ɾjʌs
렸,ryeoss,ɾjʌs͈
령,ryeong,ɾjʌŋ
렺,ryeoj,ɾjʌt͡ɕ
렻,ryeoch,ɾjʌt͡ɕʰ
렼,ryeok,ɾjʌkʰ
렽,ryeot,ɾjʌtʰ
렾,ryeop,ɾjʌpʰ
렿,ryeoh,ɾjʌh
례,rye,ɾje
롁,ryeg,ɾjek
롂,ryegg,ɾjek͈
롃,ryegs,ɾjeks
롄,ryen,ɾjen
롅,ryenj,ɾjenɟ
롆,ryenh,ɾjenh
롇,ryed,ɾjet
롈,ryel,ɾjeɾ
롉,ryelg,ɾjelg
롊,ryelm,ɾjelm
롋,ryelb,ɾjelb
롌,ryels,ɾjels
롍,ryelt,ɾjeltʰ
롎,ryelp,ɾjelpʰ
롏,ryelh,ɾjelh
롐,ryem,ɾjem
롑,ryeb,ɾjep
롒,ryebs,ɾjeps
롓,ryes,ɾjes
롔,ryess,ɾjes͈
롕,ryeng,ɾjeŋ
롖,ryej,ɾjet͡ɕ
롗,ryech,ɾjet͡ɕʰ
롘,ryek,ɾjekʰ
롙,ryet,ɾjetʰ
롚,ryep,ɾjepʰ
롛,ryeh,ɾjeh
로,ro,ɾo
록,rog,ɾok
롞,rogg,ɾok͈
롟,rogs,ɾoks
론,ron,ɾon
롡,ronj,ɾonɟ
롢,ronh,ɾonh
롣,rod,ɾot
롤,rol,ɾoɾ
롥,rolg,ɾolg
롦,rolm,ɾolm
롧,rolb,ɾolb
롨,rols,ɾols
롩,rolt,ɾoltʰ
롪,rolp,ɾolpʰ
롫,rolh,ɾolh
롬,rom,ɾom
롭,rob,ɾop
롮,robs,ɾops
롯,ros,ɾos
롰,ross,ɾos͈
롱,rong,ɾoŋ
롲,roj,ɾot͡ɕ
롳,roch,ɾot͡ɕʰ
롴,rok,ɾokʰ
롵,rot,ɾotʰ
롶,rop,ɾopʰ
롷,roh,ɾoh
롸,rwa,ɾwɐ
롹,rwag,ɾwɐk
롺,rwagg,ɾwɐk͈
롻,rwags,ɾwɐks
롼,rwan,ɾwɐn
롽,rwanj,ɾwɐnɟ
롾,rwanh,ɾwɐnh
롿,rwad,ɾwɐt
뢀,rwal,ɾwɐɾ
뢁,rwalg,ɾwɐlg
뢂,rwalm,ɾwɐlm
뢃,rwalb,ɾwɐlb
뢄,rwals,ɾwɐls
뢅,rwalt,ɾwɐltʰ
뢆,rwalp,ɾwɐlpʰ
뢇,rwalh,ɾwɐlh
뢈,rwam,ɾwɐm
뢉,rwab,ɾwɐp
뢊,rwabs,ɾwɐps
뢋,rwas,ɾwɐs
뢌,rwass,ɾwɐs͈
뢍,rwang,ɾwɐŋ
뢎,rwaj,ɾwɐt͡ɕ
뢏,rwach,ɾwɐt͡ɕʰ
뢐,rwak,ɾwɐkʰ
뢑,rwat,ɾwɐtʰ
뢒,rwap,ɾwɐpʰ
뢓,rwah,ɾwɐh
뢔,rwae,ɾwɛ
뢕,rwaeg,ɾwɛk
뢖,rwaegg,ɾwɛk͈
뢗,rwaegs,ɾwɛks
뢘,rwaen,ɾwɛn
뢙,rwaenj,ɾwɛnɟ
뢚,rwaenh,ɾwɛnh
뢛,rwaed,ɾwɛt
뢜,rwael,ɾwɛɾ
뢝,rwaelg,ɾwɛlg
뢞,rwaelm,ɾwɛlm
뢟,rwaelb,ɾwɛlb
뢠,rwaels,ɾwɛls
뢡,rwaelt,ɾwɛltʰ
뢢,rwaelp,ɾwɛlpʰ
뢣,rwaelh,ɾwɛlh
뢤,rwaem,ɾwɛm
뢥,rwaeb,ɾwɛp
뢦,rwaebs,ɾwɛps
뢧,rwaes,ɾwɛs
뢨,rwaess,ɾwɛs͈
뢩,rwaeng,ɾwɛŋ
뢪,rwaej,ɾwɛt͡ɕ
뢫,rwaech,ɾwɛt͡ɕʰ
뢬,rwaek,ɾwɛkʰ
뢭,rwaet,ɾwɛtʰ
뢮,rwaep,ɾwɛpʰ
뢯,rwaeh,ɾwɛh
뢰,roe,ɾwe
뢱,roeg,ɾwek
뢲,roegg,ɾwek͈
뢳,roegs,ɾweks
뢴,roen,ɾwen
뢵,roenj,ɾwenɟ
뢶,roenh,ɾwenh
뢷,roed,ɾwet
뢸,roel,ɾweɾ
뢹,roelg,ɾwelg
뢺,roelm,ɾwelm
뢻,roelb,ɾwelb
뢼,roels,ɾwels
뢽,roelt,ɾweltʰ
뢾,roelp,ɾwelpʰ
뢿,roelh,ɾwelh
룀,roem,ɾwem
룁,roeb,ɾwep
룂,roebs,ɾweps
룃,roes,ɾwes
룄,roess,ɾwes͈
룅,roeng,ɾweŋ
룆,roej,ɾwet͡ɕ
룇,roech,ɾwet͡ɕʰ
룈,roek,ɾwekʰ
룉,roet,ɾwetʰ
룊,roep,ɾwepʰ
룋,roeh,ɾweh
료,ryo,ɾjo
룍,ryog,ɾjok
룎,ryogg,ɾjok͈
룏,ryogs,ɾjoks
룐,ryon,ɾjon
룑,ryonj,ɾjonɟ
룒,ryonh,ɾjonh
룓,ryod,ɾjot
룔,ryol,ɾjoɾ
룕,ryolg,ɾjolg
룖,ryolm,ɾjolm
룗,ryolb,ɾjolb
룘,ryols,ɾjols
룙,ryolt,ɾjoltʰ
룚,ryolp,ɾjolpʰ
룛,ryolh,ɾjolh
룜,ryom,ɾjom
룝,ryob,ɾjop
룞,ryobs,ɾjops
룟,ryos,ɾjos
룠,ryoss,ɾjos͈
룡,ryong,ɾjoŋ
룢,ryoj,ɾjot͡ɕ
룣,ryoch,ɾjot͡ɕʰ
룤,ryok,ɾjokʰ
룥,ryot,ɾjotʰ
룦,ryop,ɾjopʰ
룧,ryoh,ɾjoh
루,ru,ɾu
룩,rug,ɾuk
룪,rugg,ɾuk͈
룫,rugs,ɾuks
룬,run,ɾun
룭,runj,ɾunɟ
룮,runh,ɾunh
룯,rud,ɾut
룰,rul,ɾuɾ
룱,rulg,ɾulg
룲,rulm,ɾulm
룳,rulb,ɾulb
룴,ruls,ɾuls
룵,rult,ɾultʰ
룶,rulp,ɾulpʰ
룷,rulh,ɾulh
룸,rum,ɾum
룹,rub,ɾup
룺,rubs,ɾups
룻,rus,ɾus
룼,russ,ɾus͈
룽,rung,ɾuŋ
룾,ruj,ɾut͡ɕ
룿,ruch,ɾut͡ɕʰ
뤀,ruk,ɾukʰ
뤁,rut,ɾutʰ
뤂,rup,ɾupʰ
뤃,ruh,ɾuh
뤄,rweo,ɾwʌ
뤅,rweog,ɾwʌk
뤆,rweogg,ɾwʌk͈
뤇,rweogs,ɾwʌks
뤈,rweon,ɾwʌn
뤉,rweonj,ɾwʌnɟ
뤊,rweonh,ɾwʌnh
뤋,rweod,ɾwʌt
뤌,rweol,ɾwʌɾ
뤍,rweolg,ɾwʌlg
뤎,rweolm,ɾwʌlm
뤏,rweolb,ɾwʌlb
뤐,rweols,ɾwʌls
뤑,rweolt,ɾwʌltʰ
뤒,rweolp,ɾwʌlpʰ
뤓,rweolh,ɾwʌlh
뤔,rweom,ɾwʌm
뤕,rweob,ɾwʌp
뤖,rweobs,ɾwʌps
뤗,rweos,ɾwʌs
뤘,rweoss,ɾwʌs͈
뤙,rweong,ɾwʌŋ
뤚,rweoj,ɾwʌt͡ɕ
뤛,rweoch,ɾwʌt͡ɕʰ
뤜,rweok,ɾwʌkʰ
뤝,rweot,ɾwʌtʰ
뤞,rweop,ɾwʌpʰ
뤟,rweoh,ɾwʌh
뤠,rwe,ɾwe
뤡,rweg,ɾwek
뤢,rwegg,ɾwek͈
뤣,rwegs,ɾweks
뤤,rwen,ɾwen
뤥,rwenj,ɾwenɟ
뤦,rwenh,ɾwenh
뤧,rwed,ɾwet
뤨,rwel,ɾweɾ
뤩,rwelg,ɾwelg
뤪,rwelm,ɾwelm
뤫,rwelb,ɾwelb
뤬,rwels,ɾwels
뤭,rwelt,ɾweltʰ
뤮,rwelp,ɾwelpʰ
뤯,rwelh,ɾwelh
뤰,rwem,ɾwem
뤱,rweb,ɾwep
뤲,rwebs,ɾweps
뤳,rwes,ɾwes
뤴,rwess,ɾwes͈
뤵,rweng,ɾweŋ
뤶,rwej,ɾwet͡ɕ
뤷,rwech,ɾwet͡ɕʰ
뤸,rwek,ɾwekʰ
뤹,rwet,ɾwetʰ
뤺,rwep,ɾwepʰ
뤻,rweh,ɾweh
뤼,rwi,ɾwi
뤽,rwig,ɾwik
뤾,rwigg,ɾwik͈
뤿,rwigs,ɾwiks
륀,rwin,ɾwin
륁,rwinj,ɾwinɟ
륂,rwinh,ɾwinh
륃,rwid,ɾwit
륄,rwil,ɾwiɾ
륅,rwilg,ɾwilg
륆,rwilm,ɾwilm
륇,rwilb,ɾwilb
륈,rwils,ɾwils
륉,rwilt,ɾwiltʰ
륊,rwilp,ɾwilpʰ
륋,rwilh,ɾwilh
륌,rwim,ɾwim
륍,rwib,ɾwip
륎,rwibs,ɾwips
륏,rwis,ɾwis
륐,rwiss,ɾwis͈
륑,rwing,ɾwiŋ
륒,rwij,ɾwit͡ɕ
륓,rwich,ɾwit͡ɕʰ
륔,rwik,ɾwikʰ
륕,rwit,ɾwitʰ
륖,rwip,ɾwipʰ
륗,rwih,ɾwih
류,ryu,ɾju
륙,ryug,ɾjuk
륚,ryugg,ɾjuk͈
륛,ryugs,ɾjuks
륜,ryun,ɾjun
륝,ryunj,ɾjunɟ
륞,ryunh,ɾjunh
륟,ryud,ɾjut
률,ryul,ɾjuɾ
륡,ryulg,ɾjulg
륢,ryulm,ɾjulm
륣,ryulb,ɾjulb
륤,ryuls,ɾjuls
륥,ryult,ɾjultʰ
륦,ryulp,ɾjulpʰ
륧,ryulh,ɾjulh
륨,ryum,ɾjum
륩,ryub,ɾjup
륪,ryubs,ɾjups
륫,ryus,ɾjus
륬,ryuss,ɾjus͈
륭,ryung,ɾjuŋ
륮,ryuj,ɾjut͡ɕ
륯,ryuch,ɾjut͡ɕʰ
륰,ryuk,ɾjukʰ
륱,ryut,ɾjutʰ
륲,ryup,ɾjupʰ
륳,ryuh,ɾjuh
르,reu,ɾɨ
륵,reug,ɾɨk
륶,reugg,ɾɨk͈
륷,reugs,ɾɨks
른,reun,ɾɨn
륹,reunj,ɾɨnɟ
륺,reunh,ɾɨnh
륻,reud,ɾɨt
를,reul,ɾɨɾ
륽,reulg,ɾɨlg
륾,reulm,ɾɨlm
륿,reulb,ɾɨlb
릀,reuls,ɾɨls
릁,reult,ɾɨltʰ
릂,reulp,ɾɨlpʰ
릃,reulh,ɾɨlh
름,reum,ɾɨm
릅,reub,ɾɨp
릆,reubs,ɾɨps
릇,reus,ɾɨs
릈,reuss,ɾɨs͈
릉,reung,ɾɨŋ
릊,reuj,ɾɨt͡ɕ
릋,reuch,ɾɨt͡ɕʰ
릌,reuk,ɾɨkʰ
릍,reut,ɾɨtʰ
릎,reup,ɾɨpʰ
릏,reuh,ɾɨh
릐,ryi,ɾы
릑,ryig,ɾыk
릒,ryigg,ɾыk͈
릓,ryigs,ɾыks
릔,ryin,ɾыn
릕,ryinj,ɾыnɟ
릖,ryinh,ɾыnh
릗,ryid,ɾыt
릘,ryil,ɾыɾ
릙,ryilg,ɾыlg
릚,ryilm,ɾыlm
릛,ryilb,ɾыlb
릜,ryils,ɾыls
릝,ryilt,ɾыltʰ
릞,ryilp,ɾыlpʰ
릟,ryilh,ɾыlh
릠,ryim,ɾыm
릡,ryib,ɾыp
릢,ryibs,ɾыps
릣,ryis,ɾыs
릤,ryiss,ɾыs͈
릥,rying,ɾыŋ
릦,ryij,ɾыt͡ɕ
릧,ryich,ɾыt͡ɕʰ
릨,ryik,ɾыkʰ
릩,ryit,ɾыtʰ
릪,ryip,ɾыpʰ
릫,ryih,ɾыh
리,ri,ɾi
릭,rig,ɾik
릮,rigg,ɾik͈
릯,rigs,ɾiks
린,rin,ɾin
릱,rinj,ɾinɟ
릲,rinh,ɾinh
릳,rid,ɾit
릴,ril,ɾiɾ
릵,rilg,ɾilg
릶,rilm,ɾilm
릷,rilb,ɾilb
릸,rils,ɾils
릹,rilt,ɾiltʰ
릺,rilp,ɾilpʰ
릻,rilh,ɾilh
림,rim,ɾim
립,rib,ɾip
릾,ribs,ɾips
릿,ris,ɾis
맀,riss,ɾis͈
링,ring,ɾiŋ
맂,rij,ɾit͡ɕ
맃,rich,ɾit͡ɕʰ
맄,rik,ɾikʰ
맅,rit,ɾitʰ
맆,rip,ɾipʰ
맇,rih,ɾih
마,ma,mɐ
막,mag,mɐk
맊,magg,mɐk͈
맋,mags,mɐks
만,man,mɐn
맍,manj,mɐnɟ
많,manh,mɐnh
맏,mad,mɐt
말,mal,mɐɾ
맑,malg,mɐlg
맒,malm,mɐlm
맓,malb,mɐlb
맔,mals,mɐls
맕,malt,mɐltʰ
맖,malp,mɐlpʰ
맗,malh,mɐlh
맘,mam,mɐm
맙,mab,mɐp
맚,mabs,mɐps
맛,mas,mɐs
맜,mass,mɐs͈
망,mang,mɐŋ
맞,maj,mɐt͡ɕ
맟,mach,mɐt͡ɕʰ
맠,mak,mɐkʰ
맡,mat,mɐtʰ
맢,map,mɐpʰ
맣,mah,mɐh
매,mae,mɛ
맥,maeg,mɛk
맦,maegg,mɛk͈
맧,maegs,mɛks
맨,maen,mɛn
맩,maenj,mɛnɟ
맪,maenh,mɛnh
맫,maed,mɛt
맬,mael,mɛɾ
맭,maelg,mɛlg
맮,maelm,mɛlm
맯,maelb,mɛlb
맰,maels,mɛls
맱,maelt,mɛltʰ
맲,maelp,mɛlpʰ
맳,maelh,mɛlh
맴,maem,mɛm
맵,maeb,mɛp
맶,maebs,mɛps
맷,maes,mɛs
맸,maess,mɛs͈
맹,maeng,mɛŋ
맺,maej,mɛt͡ɕ
맻,maech,mɛt͡ɕʰ
맼,maek,mɛkʰ
맽,maet,mɛtʰ
맾,maep,mɛpʰ
맿,maeh,mɛh
먀,mya,mjɐ
먁,myag,mjɐk
먂,myagg,mjɐk͈
먃,myags,mjɐks
먄,myan,mjɐn
먅,myanj,mjɐnɟ
먆,myanh,mjɐnh
먇,myad,mjɐt
먈,myal,mjɐɾ
먉,myalg,mjɐlg
먊,myalm,mjɐlm
먋,myalb,mjɐlb
먌,myals,mjɐls
먍,myalt,mjɐltʰ
먎,myalp,mjɐlpʰ
먏,myalh,mjɐlh
먐,myam,mjɐm
먑,myab,mjɐp
먒,myabs,mjɐps
먓,myas,mjɐs
먔,myass,mjɐs͈
먕,myang,mjɐŋ
먖,myaj,mjɐt͡ɕ
먗,myach,mjɐt͡ɕʰ
먘,myak,mjɐkʰ
먙,myat,mjɐtʰ
먚,myap,mjɐpʰ
먛,myah,mjɐh
먜,myae,mjɛ
먝,myaeg,mjɛk
먞,myaegg,mjɛk͈
먟,myaegs,mjɛks
먠,myaen,mjɛn
먡,myaenj,mjɛnɟ
먢,myaenh,mjɛnh
먣,myaed,mjɛt
먤,myael,mjɛɾ
먥,myaelg,mjɛlg
먦,myaelm,mjɛlm
먧,myaelb,mjɛlb
먨,myaels,mjɛls
먩,myaelt,mjɛltʰ
먪,myaelp,mjɛlpʰ
먫,myaelh,mjɛlh
먬,myaem,mjɛm
먭,myaeb,mjɛp
먮,myaebs,mjɛps
먯,myaes,mjɛs
먰,myaess,mjɛs͈
먱,myaeng,mjɛŋ
먲,myaej,mjɛt͡ɕ
먳,myaech,mjɛt͡ɕʰ
먴,myaek,mjɛkʰ
먵,myaet,mjɛtʰ
먶,myaep,mjɛpʰ
먷,myaeh,mjɛh
머,meo,mʌ
먹,meog,mʌk
먺,meogg,mʌk͈
먻,meogs,mʌks
먼,meon,mʌn
먽,meonj,mʌnɟ
먾,meonh,mʌnh
먿,meod,mʌt
멀,meol,mʌɾ
멁,meolg,mʌlg
멂,meolm,mʌlm
멃,meolb,mʌlb
멄,meols,mʌls
멅,meolt,mʌltʰ
멆,meolp,mʌlpʰ
멇,meolh,mʌlh
멈,meom,mʌm
멉,meob,mʌp
멊,meobs,mʌps
멋,meos,mʌs
멌,meoss,mʌs͈
멍,meong,mʌŋ
멎,meoj,mʌt͡ɕ
멏,meoch,mʌt͡ɕʰ
멐,meok,mʌkʰ
멑,meot,mʌtʰ
멒,meop,mʌpʰ
멓,meoh,mʌh
메,me,me
멕,meg,mek
멖,megg,mek͈
멗,megs,meks
멘,men,men
멙,menj,menɟ
멚,menh,menh
멛,med,met
멜,mel,meɾ
멝,melg,melg
멞,melm,melm
멟,melb,melb
멠,mels,mels
멡,melt,meltʰ
멢,melp,melpʰ
멣,melh,melh
멤,mem,mem
멥,meb,mep
멦,mebs,meps
멧,mes,mes
멨,mess,mes͈
멩,meng,meŋ
멪,mej,met͡ɕ
